"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri" Mean
"LQ LO reweighting " 54.38 15.46 22.94 57.05 45.84 21.39 35.03 20.37 31.58 22.37 34.41 15.04 7.39 48.0 29.94 30.745999999999995
"DY Cross Section " 16.69 13.74 20.85 7.22 3.59 14.45 16.1 2.1 20.29 3.71 4.21 19.4 15.69 5.9 10.39 11.621999999999998
"$\ttbar$ Cross Section " 6.03 3.51 6.4 4.82 6.32 2.55 11.05 11.7 2.74 8.77 4.67 10.64 0.03 3.13 4.98 5.822666666666667
"Luminosity " 5.37 6.89 6.51 9.8 8.13 9.57 9.09 22.14 2.37 11.54 9.95 16.73 13.76 2.76 12.54 9.809999999999999
"MC and MisID Backgrounds Statistical Uncertainty " 5.11 16.49 11.82 5.8 0.02 14.32 3.45 10.37 6.9 9.36 8.01 4.95 15.22 2.77 5.88 8.031333333333334
"$\alpha_s$ + Renormalization/Factorization Scales " 3.19 22.4 4.54 2.69 21.14 19.18 5.2 6.24 20.93 22.24 13.95 17.25 13.86 12.06 15.48 13.356666666666666
"$e\mu$ Shape Corrections " 2.47 1.71 3.9 0.3 1.36 4.35 6.74 0.6 0.96 5.72 1.47 2.36 11.73 2.65 1.86 3.212
"Pileup " 1.94 0.32 3.17 3.14 0.62 2.15 0.81 0.3 0.83 1.11 0.23 1.42 0.93 0.83 0.67 1.2313333333333332
"Diboson Cross Section " 1.24 1.87 2.16 0.67 1.18 0.24 0.09 2.47 0.44 0.32 2.42 0.61 0.76 1.98 1.88 1.222
"Muon MisID Shape " 0.73 0.47 1.1 0.23 0.16 1.12 0.7 1.17 0.1 0.69 0.59 0.31 0.05 0.11 0.71 0.5493333333333332
"Muon MisID Normalization " 0.73 0.35 0.57 0.06 0.64 0.44 0.46 0.39 0.48 0.77 0.38 0.14 0.51 0.43 0.15 0.43333333333333335
"$\gamma\gamma$ Cross Section " 0.58 0.69 2.43 1.42 0.39 0.92 1.23 0.63 1.27 0.36 1.63 0.34 0.58 0.21 0.85 0.902
"Muon Trigger " 0.48 0.12 2.02 0.61 0.74 0.3 0.32 1.77 0.8 0.41 1.04 1.26 0.2 0.06 0.64 0.718
"Muon Trigger Prefire Correction " 0.43 0.11 1.04 0.61 0.45 0.13 0.16 1.06 0.49 0.51 0.23 0.21 0.92 0.28 0.82 0.49666666666666676
"Muon Momentum Scale " 0.31 0.94 4.55 3.72 0.94 4.23 0.79 11.8 6.42 4.56 4.92 2.81 2.47 5.7 4.25 3.8940000000000006
"PDFs " 0.23 7.82 3.64 0.58 4.97 1.63 2.89 0.98 1.02 5.43 4.1 3.97 13.16 10.37 6.33 4.474666666666667
"Muon Identification/Isolation " 0.11 7.11 2.36 1.28 3.51 3.03 5.87 5.92 2.37 2.15 7.79 2.55 2.74 2.75 2.62 3.477333333333333
