"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri" Mean Std
"LQ LO reweighting " 31.73 2.21 9.54 24.07 74.55 8.42 21.43 18.66 44.6 3.93 3.26 15.83 34.02 40.37 19.88 23.499999999999996 18.766061565141115
"DY Cross Section " 23.38 14.98 44.59 1.71 0.21 18.42 12.66 12.05 2.31 24.11 25.81 50.52 3.72 2.59 8.5 16.370666666666665 14.798436614123206
"$\alpha_s$ + Renormalization/Factorization Scales " 21.02 46.75 6.65 32.74 8.71 2.64 23.89 13.29 12.1 10.4 4.82 11.67 3.6 6.88 14.9 14.670666666666666 11.666452455176291
"$\ttbar$ Cross Section " 8.33 4.28 4.94 2.21 3.55 5.55 9.18 9.35 14.1 0.45 11.56 8.85 12.7 20.9 3.81 7.984000000000001 5.160851092600909
"Luminosity " 5.37 0.86 10.24 31.73 3.23 2.58 1.35 9.78 3.62 11.22 8.93 3.18 23.41 9.19 28.0 10.179333333333334 9.475720177848695
"Muon Trigger " 2.35 0.08 1.15 0.21 0.17 2.64 1.06 0.49 1.44 0.47 3.7 0.4 1.01 0.44 0.77 1.092 1.0106710641944787
"MC and MisID Backgrounds Statistical Uncertainty " 2.02 13.21 2.62 0.7 3.09 17.12 11.02 12.88 9.91 20.52 16.92 3.3 6.23 6.52 1.35 8.494 6.289124793376791
"Muon Momentum Scale " 1.64 2.67 4.33 1.19 0.26 9.84 3.36 7.5 2.25 3.04 13.78 3.45 2.1 4.29 2.9 4.173333333333334 3.4687628278041087
"PDFs " 0.84 6.21 1.7 0.71 1.46 3.89 0.99 2.42 5.6 8.17 0.9 0.2 4.62 1.35 9.62 3.2453333333333334 2.868813614642045
"$e\mu$ Shape Corrections " 0.82 1.67 2.3 0.43 0.84 1.05 2.37 4.55 0.3 9.73 2.29 0.11 1.15 1.96 0.32 1.9926666666666664 2.349304767136203
"Muon Identification/Isolation " 0.76 4.8 2.64 2.88 2.18 14.73 6.65 5.49 1.09 4.8 3.14 1.35 4.47 2.61 3.85 4.096 3.274517369017914
"Pileup " 0.59 0.17 0.77 0.41 0.36 0.29 1.49 0.19 0.78 1.46 2.19 0.21 0.91 1.03 0.95 0.7866666666666667 0.5595792069840416
"Muon MisID Shape " 0.54 0.19 0.65 0.03 0.22 1.75 1.11 0.51 0.42 0.31 0.66 0.17 0.18 0.09 0.97 0.5199999999999999 0.4484491795807711
"$\gamma\gamma$ Cross Section " 0.19 0.63 3.11 0.3 0.53 4.56 0.29 1.79 0.74 0.22 0.19 0.08 0.29 0.26 1.95 1.0086666666666664 1.2619924282216946
"Muon MisID Normalization " 0.19 0.05 1.78 0.06 0.27 0.64 1.49 0.3 0.22 0.2 0.62 0.13 0.65 0.2 0.9 0.5133333333333334 0.5041648760298779
"Muon Trigger Prefire Correction " 0.14 0.25 0.92 0.62 0.2 0.4 0.32 0.07 0.38 0.27 0.41 0.23 0.54 0.15 0.36 0.35066666666666674 0.2093948954063165
"Diboson Cross Section " 0.09 0.99 2.06 0.01 0.18 5.46 1.36 0.68 0.13 0.69 0.81 0.32 0.38 1.18 0.97 1.0206666666666666 1.30360252974423
