"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri" Mean
"LQ LO reweighting " 42.79 11.55 7.66 30.37 42.72 20.9 10.0 12.8 36.8 14.24 32.56 28.11 9.4 8.46 35.45 22.920666666666666
"DY Cross Section " 19.59 10.83 28.35 6.32 5.2 20.36 3.05 30.41 3.14 11.45 6.26 22.34 12.04 19.03 4.09 13.497333333333332
"$\alpha_s$ + Renormalization/Factorization Scales " 8.17 29.24 6.97 26.59 16.12 10.67 5.79 10.23 11.57 14.07 10.95 5.82 22.31 19.21 6.46 13.611333333333334
"MC and MisID Backgrounds Statistical Uncertainty " 6.36 14.51 4.58 1.39 3.09 3.73 5.75 6.73 11.0 2.67 8.49 3.2 7.89 3.23 12.3 6.328
"$\ttbar$ Cross Section " 4.85 4.12 7.37 1.5 7.09 20.94 26.51 7.91 4.67 8.05 8.68 14.9 8.31 11.56 4.28 9.382666666666667
"Luminosity " 4.55 6.32 10.22 14.12 7.04 1.26 29.03 7.56 14.69 13.27 16.74 7.54 12.61 2.9 8.15 10.4
"Muon Momentum Scale " 2.8 6.96 3.99 5.27 4.77 7.47 4.81 14.26 8.55 22.18 8.23 9.15 11.53 22.48 7.0 9.296666666666669
"$e\mu$ Shape Corrections " 2.32 2.7 7.38 0.16 2.56 1.09 0.51 1.56 0.52 2.08 0.54 0.49 1.22 0.84 2.83 1.7866666666666664
"Muon Trigger Prefire Correction " 2.05 0.23 1.9 0.71 0.64 0.61 0.03 0.93 0.53 0.69 1.04 0.35 0.41 0.86 1.28 0.8173333333333332
"Muon Identification/Isolation " 1.22 3.67 3.87 2.6 0.7 1.68 1.57 1.76 0.31 2.43 2.05 0.48 3.47 1.46 1.09 1.8906666666666667
"PDFs " 1.22 5.46 2.54 4.87 5.25 1.43 3.18 0.71 0.79 3.95 1.28 3.26 4.84 1.19 9.56 3.302
"Muon MisID Shape " 0.87 0.59 1.36 0.53 0.6 0.86 0.35 0.73 0.64 0.47 0.18 0.35 0.45 1.19 2.58 0.7833333333333333
"Muon Trigger " 0.83 0.29 2.83 0.84 0.89 1.51 2.75 0.52 1.21 0.59 0.86 1.11 1.78 1.0 0.77 1.1853333333333331
"Muon MisID Normalization " 0.7 0.79 4.09 0.65 0.2 2.44 0.78 0.64 1.32 1.02 0.07 0.76 0.75 1.61 0.9 1.1146666666666667
"Diboson Cross Section " 0.59 2.41 1.48 1.16 1.21 2.9 1.68 1.12 1.56 0.96 0.87 1.09 1.85 1.13 1.11 1.4080000000000001
"Pileup " 0.58 0.16 1.29 2.45 1.2 1.58 3.52 1.83 1.58 0.49 0.94 0.46 0.78 0.74 1.45 1.27
"$\gamma\gamma$ Cross Section " 0.52 0.18 4.11 0.48 0.73 0.57 0.7 0.32 1.13 1.38 0.28 0.57 0.37 3.1 0.7 1.0093333333333332
