"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri" Mean Std
"LQ LO reweighting " 45.17 71.97 20.95 1.88 56.77 6.09 55.52 39.18 43.99 71.42 0.28 2.54 24.89 51.62 16.09 33.89066666666667 24.353976120725935
"Electron Momentum Scale " 16.11 5.72 10.41 2.58 2.28 1.12 5.55 3.79 11.64 5.89 16.69 68.94 8.31 6.74 11.19 11.797333333333333 15.942395247334142
"MC and MisID Backgrounds Statistical Uncertainty " 7.11 3.64 9.37 2.84 5.96 4.79 12.22 6.85 9.7 3.95 0.03 4.36 15.44 6.13 2.72 6.3406666666666665 3.8591181491227875
"PDFs " 5.16 2.23 3.69 3.03 1.94 0.57 2.21 0.41 0.3 0.24 0.11 0.33 0.15 2.05 3.25 1.7113333333333332 1.5201397596566208
"Electron Identification/Isolation " 4.74 6.84 22.78 6.36 13.04 13.68 4.67 12.47 11.28 6.93 0.07 7.5 26.91 9.85 31.56 11.911999999999999 8.498671425581765
"$\alpha_s$ + Renormalization/Factorization Scales " 4.15 0.89 6.92 2.33 13.05 1.01 2.33 6.59 8.06 2.13 16.44 1.27 3.81 8.24 5.62 5.522666666666668 4.392394133297037
"Electron Trigger Prefire Correction " 3.12 0.04 0.52 0.57 0.54 0.31 0.91 0.17 1.19 0.34 16.3 0.14 0.24 0.63 0.45 1.6979999999999997 3.9684273963372445
"$e\mu$ Shape Corrections " 2.63 0.64 1.05 0.31 0.66 0.23 1.59 0.68 2.55 0.43 0.02 0.67 1.95 1.23 5.13 1.318 1.2836468881017604
"$\ttbar$ Cross Section " 2.57 3.05 1.53 0.98 1.17 41.22 1.83 3.89 6.06 1.59 0.02 1.12 1.77 2.85 7.26 5.1273333333333335 9.826064974794786
"Electron MisID Shape " 2.25 0.31 1.23 1.01 0.17 0.13 2.39 12.39 0.96 0.66 0.03 0.57 2.73 0.16 4.49 1.9653333333333336 3.036941151151197
"Luminosity " 2.02 0.82 3.58 74.57 1.54 0.17 2.03 3.42 1.52 3.34 16.87 3.2 4.78 1.29 2.6 8.116666666666667 18.161943973289002
"Electron MisID Normalization " 1.13 1.35 1.13 0.75 1.02 0.29 3.35 4.32 0.26 0.49 0.03 5.13 1.23 1.82 3.28 1.7053333333333334 1.517343585202625
"DY Cross Section " 1.07 0.77 6.98 0.29 0.51 29.68 0.79 1.21 0.89 1.81 0.05 1.22 4.94 5.27 2.62 3.8733333333333326 7.180307947589868
"$\gamma\gamma$ Cross Section " 1.05 0.46 1.25 0.14 0.22 0.08 0.58 1.76 0.12 0.08 0.01 0.82 0.01 0.57 0.29 0.49600000000000005 0.5031341769349404
"Pileup " 0.73 0.29 0.93 0.22 0.27 0.1 0.93 0.11 0.19 0.1 16.15 0.41 0.12 0.11 1.5 1.4773333333333334 3.941790568877155
"Diboson Cross Section " 0.45 0.69 2.57 0.51 0.06 0.13 0.07 0.88 0.29 0.39 16.9 0.36 0.72 0.14 0.52 1.645333333333333 4.119229485663011
"Electron Reconstruction " 0.29 0.11 3.06 0.8 0.12 0.36 1.56 1.48 0.73 0.05 0.0 0.88 1.44 0.13 1.02 0.8020000000000002 0.8025143820102748
"Electron Trigger " 0.26 0.17 2.05 0.84 0.66 0.04 1.45 0.4 0.28 0.13 0.01 0.56 0.55 1.18 0.42 0.6 0.5528471759898932
