"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri" Mean
"LQ LO reweighting " 43.75 4.66 4.7 29.74 44.67 23.44 2.45 71.67 55.74 29.3 23.06 8.24 24.35 15.2 25.26 27.082
"DY Cross Section " 19.92 14.01 28.5 5.43 4.11 19.87 10.34 0.76 9.58 28.14 11.3 2.39 11.07 30.6 9.78 13.72
"$\alpha_s$ + Renormalization/Factorization Scales " 8.93 26.99 13.88 26.59 17.07 26.11 1.21 3.45 8.13 5.39 6.7 30.66 12.6 8.88 23.01 14.639999999999997
"MC and MisID Backgrounds Statistical Uncertainty " 5.46 16.85 5.2 0.73 2.76 5.51 14.84 7.42 4.5 3.6 6.66 10.97 9.91 2.86 10.24 7.167333333333332
"$\ttbar$ Cross Section " 5.42 5.57 8.67 1.81 7.98 6.53 24.44 5.62 9.39 5.1 10.43 14.89 2.27 1.95 0.96 7.402
"Luminosity " 4.57 7.12 7.12 13.48 5.88 1.32 17.52 3.01 6.13 9.12 13.52 15.5 11.84 7.87 12.43 9.095333333333334
"Muon Momentum Scale " 4.1 7.25 2.65 5.38 4.55 6.19 2.86 0.93 0.7 6.07 4.59 3.15 13.12 17.45 0.75 5.316000000000001
"$e\mu$ Shape Corrections " 2.91 1.9 8.28 1.01 2.7 2.28 0.9 0.6 0.44 2.2 10.69 0.14 1.95 2.05 3.72 2.784666666666667
"Muon Identification/Isolation " 1.07 4.44 3.84 3.06 1.01 0.29 4.27 0.21 0.47 2.01 4.14 1.76 0.83 0.79 0.8 1.9326666666666668
"PDFs " 1.07 5.38 1.48 5.15 5.37 2.68 12.85 4.63 0.18 3.94 0.37 2.65 3.26 7.89 8.75 4.376666666666666
"Muon MisID Normalization " 0.73 0.91 4.12 0.51 0.25 0.07 1.0 0.4 0.67 0.9 0.56 1.23 0.56 0.27 0.72 0.8600000000000001
"Muon Trigger " 0.73 0.32 3.29 1.75 0.53 0.72 2.71 0.34 0.95 0.35 1.93 2.59 1.6 2.16 1.2 1.4113333333333336
"Diboson Cross Section " 0.51 2.38 0.89 1.22 0.6 1.24 2.56 0.34 1.23 0.94 0.32 1.75 2.7 0.34 0.26 1.1520000000000001
"Muon MisID Shape " 0.41 0.51 0.43 0.45 0.32 0.69 0.75 0.12 0.51 0.88 0.73 1.17 0.42 0.22 0.85 0.564
"Muon Trigger Prefire Correction " 0.21 0.26 1.56 0.36 0.31 0.45 0.41 0.01 0.12 0.11 1.77 0.32 0.65 0.3 0.4 0.48266666666666674
"Pileup " 0.15 0.67 1.4 2.15 1.05 1.79 0.69 0.38 0.47 0.94 2.31 2.28 2.33 0.74 0.63 1.1986666666666665
"$\gamma\gamma$ Cross Section " 0.04 0.76 4.0 1.18 0.84 0.79 0.19 0.09 0.79 1.02 0.92 0.31 0.54 0.41 0.22 0.8066666666666666
