"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri" Mean
"LQ LO reweighting " 65.59 16.11 24.44 57.08 48.01 13.74 33.12 74.97 28.08 11.91 34.2 64.55 13.96 20.62 47.21 36.90599999999999
"DY Cross Section " 10.49 13.42 19.57 6.68 3.17 18.85 5.94 5.29 9.05 14.5 2.32 4.49 13.63 6.14 4.09 9.175333333333333
"$\ttbar$ Cross Section " 6.12 3.16 7.3 4.51 6.47 4.61 7.46 1.51 2.67 2.93 6.74 9.85 4.99 3.87 0.8 4.8660000000000005
"MC and MisID Backgrounds Statistical Uncertainty " 3.67 16.59 10.99 6.06 0.32 11.8 10.8 1.15 8.08 2.46 6.69 4.46 0.61 7.85 1.96 6.232666666666665
"$\alpha_s$ + Renormalization/Factorization Scales " 3.05 21.88 5.65 2.49 18.84 21.33 4.97 8.73 20.34 31.68 5.96 3.55 22.74 25.91 12.05 13.94466666666667
"Luminosity " 2.95 7.03 6.48 9.82 7.43 13.23 18.37 2.35 6.99 12.87 18.89 1.92 8.61 14.84 18.63 10.027333333333333
"$e\mu$ Shape Corrections " 2.01 1.31 3.6 0.78 2.02 0.63 0.51 0.56 5.66 0.83 2.29 1.52 1.14 1.48 4.58 1.9280000000000002
"Muon Identification/Isolation " 1.76 7.37 1.82 1.42 4.94 2.84 5.09 0.22 1.45 2.86 5.32 0.52 1.55 5.73 1.28 2.944666666666667
"Muon Trigger " 1.02 0.25 2.09 0.31 0.08 0.98 4.57 0.72 0.24 2.03 0.74 0.8 16.88 0.72 0.47 2.1266666666666665
"Pileup " 0.78 0.28 2.44 3.58 0.21 0.97 0.17 0.2 4.2 0.12 2.34 0.55 0.38 2.92 0.8 1.3293333333333335
"Muon Momentum Scale " 0.59 1.19 4.08 4.1 1.36 2.22 1.85 3.46 1.29 10.75 7.02 1.2 3.59 0.79 2.11 3.04
"Muon Trigger Prefire Correction " 0.38 0.06 0.74 0.49 0.08 0.29 0.14 0.19 0.19 0.31 1.43 0.21 0.06 0.26 0.18 0.3339999999999999
"Muon MisID Shape " 0.35 0.44 1.2 0.35 0.08 0.23 0.32 0.18 0.14 0.31 0.92 0.11 0.21 0.23 0.21 0.3520000000000001
"PDFs " 0.33 7.76 4.23 0.66 4.88 5.88 3.77 0.18 10.61 1.74 3.71 5.32 11.01 4.53 1.11 4.381333333333333
"Diboson Cross Section " 0.32 1.59 1.9 0.56 1.04 2.08 1.99 0.04 0.72 3.99 0.44 0.32 0.28 2.94 3.43 1.4426666666666668
"$\gamma\gamma$ Cross Section " 0.3 1.25 3.13 0.97 0.81 0.13 0.76 0.09 0.18 0.38 0.84 0.62 0.16 0.41 0.67 0.7133333333333332
"Muon MisID Normalization " 0.29 0.3 0.32 0.15 0.27 0.21 0.17 0.17 0.1 0.3 0.16 0.02 0.2 0.77 0.41 0.256
