"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" Mean
"$\alpha_s$ + Renormalization/Factorization Scales " 50.23 43.68 7.07 20.56 6.83 8.96 9.2 8.5 12.46 45.64 21.313
"LQ LO reweighting " 18.36 3.18 19.27 15.51 77.8 11.78 40.62 74.22 11.18 2.57 27.449
"DY Cross Section " 13.12 4.69 34.62 19.0 0.51 1.22 14.36 0.85 24.62 0.84 11.383
"$\ttbar$ Cross Section " 7.1 6.99 6.98 1.77 3.77 17.11 4.01 6.49 6.15 2.28 6.265
"MC and MisID Backgrounds Statistical Uncertainty " 2.92 13.93 6.93 19.29 2.54 17.12 11.45 2.51 17.31 41.89 13.589000000000002
"Luminosity " 2.47 0.81 7.25 19.06 2.68 5.48 1.97 0.97 2.89 0.44 4.401999999999999
"$e\mu$ Shape Corrections " 1.73 3.12 4.17 0.78 1.0 2.95 1.05 2.6 5.15 1.04 2.3590000000000004
"Muon Trigger " 1.23 0.08 1.09 0.13 0.03 0.8 0.53 0.16 1.1 0.6 0.575
"PDFs " 0.69 8.14 1.94 0.58 1.56 6.18 4.31 0.89 5.86 0.19 3.034
"Pileup " 0.59 0.22 0.69 0.19 0.8 0.76 0.57 0.37 0.24 0.08 0.45099999999999996
"Muon Momentum Scale " 0.43 4.77 2.14 0.69 0.14 23.97 3.36 0.97 2.33 2.93 4.173
"Muon Identification/Isolation " 0.41 6.79 1.66 1.81 1.79 1.25 5.76 0.73 6.98 0.77 2.795
"Muon MisID Shape " 0.39 0.32 1.44 0.01 0.1 0.4 0.28 0.38 0.3 0.07 0.3689999999999999
"Diboson Cross Section " 0.17 1.83 1.44 0.02 0.04 1.05 2.0 0.05 2.11 0.37 0.9079999999999998
"Muon MisID Normalization " 0.09 0.09 1.24 0.07 0.03 0.71 0.31 0.09 0.51 0.11 0.32499999999999996
"Muon Trigger Prefire Correction " 0.06 0.26 0.48 0.38 0.06 0.18 0.11 0.03 0.04 0.0 0.16000000000000003
"$\gamma\gamma$ Cross Section " 0.01 1.09 1.61 0.15 0.32 0.07 0.11 0.16 0.75 0.18 0.44499999999999995
