"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri" Mean
"Electron Momentum Scale " 76.6 5.48 3.88 8.14 1.38 1.59 4.75 3.31 35.84 6.48 12.23 16.9 2.69 19.14 11.06 13.964666666666664
"LQ LO reweighting " 13.22 88.39 25.72 14.06 54.03 7.87 10.61 10.67 2.29 53.35 44.41 8.24 50.89 40.1 63.87 32.51466666666667
"DY Cross Section " 2.01 0.26 0.81 1.47 1.2 5.61 5.76 0.69 1.77 2.48 2.6 0.47 0.77 4.48 2.7 2.2053333333333334
"Electron Identification/Isolation " 1.89 1.67 48.99 37.15 22.11 45.5 43.15 3.12 43.78 9.05 10.53 28.26 7.96 3.63 9.36 21.076666666666664
"MC and MisID Backgrounds Statistical Uncertainty " 1.82 1.27 3.5 12.2 11.72 6.14 12.3 61.23 5.83 6.26 9.64 15.18 0.39 11.75 0.45 10.645333333333333
"$\alpha_s$ + Renormalization/Factorization Scales " 1.34 0.33 2.3 7.66 4.32 13.45 7.67 2.12 0.23 4.31 2.18 5.51 9.43 1.06 1.37 4.218666666666667
"$\ttbar$ Cross Section " 0.74 1.04 2.26 3.91 1.44 3.18 2.1 1.57 4.46 4.2 9.36 2.06 11.89 5.97 0.08 3.6173333333333333
"Luminosity " 0.68 0.03 2.41 7.09 0.68 1.96 2.47 0.23 0.24 2.11 4.52 2.14 1.21 0.88 0.86 1.834
"Electron Trigger Prefire Correction " 0.54 0.03 0.91 0.4 0.85 1.0 1.08 0.4 1.3 0.5 0.27 0.29 1.23 1.33 0.99 0.7413333333333334
"PDFs " 0.5 0.33 1.53 0.98 0.15 5.72 2.65 4.77 1.54 2.25 0.62 3.07 2.35 5.06 2.09 2.240666666666667
"$e\mu$ Shape Corrections " 0.38 0.71 0.76 1.09 0.2 0.39 0.49 4.51 0.72 1.38 0.38 7.88 4.87 2.15 3.63 1.9693333333333336
"Electron MisID Normalization " 0.11 0.03 1.15 2.01 0.09 2.43 1.01 4.39 0.3 0.21 0.48 5.5 2.44 2.05 0.56 1.5173333333333334
"Pileup " 0.07 0.05 0.62 0.44 0.63 0.82 0.72 0.53 0.1 0.22 0.13 0.13 0.41 0.23 0.35 0.36333333333333334
"Electron Reconstruction " 0.04 0.04 0.95 0.49 0.18 3.36 0.72 1.34 0.13 1.34 0.61 1.26 0.09 0.22 0.33 0.74
"Electron Trigger " 0.03 0.03 1.32 0.12 0.63 0.39 1.61 0.31 0.69 0.06 0.91 1.75 1.02 0.39 0.7 0.6639999999999999
"$\PGg\PGg$ Cross Section " 0.01 0.01 0.34 0.03 0.06 0.41 0.08 0.35 0.02 0.01 0.14 0.16 0.07 0.05 0.21 0.13
"Diboson Cross Section " 0.01 0.03 0.44 0.22 0.08 0.06 0.23 0.27 0.1 0.01 0.1 0.19 0.35 0.0 0.58 0.178
"Electron MisID Shape " 0.01 0.26 2.12 2.52 0.26 0.13 2.6 0.18 0.64 5.77 0.89 1.0 1.94 1.49 0.82 1.3753333333333335
