"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri" Mean
"LQ LO reweighting " 49.62 6.2 12.58 48.06 43.56 17.71 30.35 7.0 18.96 45.22 6.45 10.05 24.23 6.82 37.99 24.32
"DY Cross Section " 20.49 15.43 22.3 5.08 2.04 22.9 26.12 34.32 19.73 12.54 16.51 10.09 14.51 9.73 2.49 15.618666666666664
"Luminosity " 4.97 8.31 6.71 18.72 7.32 5.22 0.74 21.37 18.22 13.9 11.15 9.38 9.17 11.57 29.72 11.764666666666667
"MC and MisID Backgrounds Statistical Uncertainty " 4.68 9.69 10.91 10.27 0.59 9.97 5.35 13.09 9.98 6.32 9.49 2.86 11.87 16.69 5.61 8.491333333333333
"$\ttbar$ Cross Section " 4.62 6.98 8.62 4.41 6.94 7.48 13.04 0.82 9.92 2.22 12.89 9.48 5.54 10.28 2.93 7.078000000000001
"$\alpha_s$ + Renormalization/Factorization Scales " 2.52 27.01 9.74 1.46 23.94 12.4 11.18 6.02 1.48 4.12 22.06 5.5 7.42 6.84 7.58 9.951333333333334
"PDFs " 2.52 6.63 4.63 0.47 5.23 4.78 4.1 1.57 1.63 3.64 6.13 1.16 13.7 1.89 2.62 4.046666666666666
"Muon Momentum Scale " 1.91 1.63 6.38 2.42 0.79 2.7 0.91 4.55 11.86 3.62 4.39 0.72 3.18 11.45 1.04 3.836666666666666
"Muon MisID Normalization " 1.82 1.35 1.09 0.23 0.16 1.7 0.57 0.71 0.6 0.53 1.53 8.17 0.64 1.52 0.81 1.4286666666666668
"Muon Trigger " 1.66 0.38 2.67 0.61 0.23 2.1 0.92 0.34 1.25 0.87 0.33 0.17 0.58 2.89 1.43 1.0953333333333333
"$e\mu$ Shape Corrections " 1.36 1.88 3.1 3.05 3.13 1.89 0.82 3.63 0.98 1.04 0.78 8.33 0.53 6.14 3.19 2.6566666666666667
"Muon Identification/Isolation " 1.29 7.6 0.92 0.03 2.62 5.53 1.32 1.17 2.65 2.42 1.53 0.46 5.5 5.17 1.18 2.6260000000000003
"Muon MisID Shape " 0.96 0.44 0.64 0.4 0.23 0.28 1.09 1.31 1.2 0.44 1.55 8.13 1.39 1.39 0.59 1.336
"Muon Trigger Prefire Correction " 0.74 0.95 1.69 0.07 0.18 1.19 0.3 1.28 0.32 0.5 1.02 8.23 0.03 1.62 0.7 1.2546666666666666
"Pileup " 0.49 0.99 1.87 2.86 0.71 1.07 1.22 1.37 0.6 0.86 1.54 0.34 0.21 1.49 0.67 1.086
"Diboson Cross Section " 0.23 3.53 3.51 0.38 0.9 1.83 0.86 1.08 0.09 0.76 1.32 8.51 1.4 0.51 1.13 1.736
"$\gamma\gamma$ Cross Section " 0.1 0.99 2.65 1.47 1.44 1.22 1.1 0.36 0.5 0.98 1.34 8.42 0.11 4.02 0.31 1.6673333333333331
