"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri" Mean Std
"Electron Momentum Scale " 73.71 4.58 4.72 5.24 1.86 16.0 2.69 5.45 20.4 17.77 9.24 16.55 2.27 3.81 9.86 12.943333333333335 17.311707278281045
"LQ LO reweighting " 17.34 85.24 19.06 12.33 46.79 29.97 8.65 44.12 30.54 48.44 17.28 11.72 13.69 22.42 31.92 29.300666666666668 19.556503595706694
"Electron Identification/Isolation " 2.46 0.83 50.27 31.49 16.31 1.02 15.38 3.14 13.91 6.26 34.2 6.92 16.27 1.5 47.12 16.471999999999998 16.137847109615745
"DY Cross Section " 1.72 0.22 1.48 0.97 1.01 0.06 17.94 1.96 2.18 0.96 1.18 1.62 14.72 17.69 1.52 4.348666666666667 6.275875361697008
"$\alpha_s$ + Renormalization/Factorization Scales " 0.78 0.16 1.98 28.68 12.34 0.14 1.61 17.99 5.94 7.88 2.62 6.95 16.25 3.72 2.48 7.301333333333333 7.927077533506419
"MC and MisID Backgrounds Statistical Uncertainty " 0.77 1.54 5.64 6.41 15.4 16.26 23.05 18.19 6.04 1.49 21.68 28.14 0.4 30.34 0.69 11.736 10.312834592551814
"$\ttbar$ Cross Section " 0.59 1.13 2.13 2.33 2.08 0.25 0.05 2.35 7.09 5.1 5.06 2.66 0.89 3.64 2.91 2.550666666666667 1.9215149116141554
"$e\mu$ Shape Corrections " 0.57 0.79 0.53 0.95 0.09 0.21 2.48 2.64 4.71 1.23 0.65 1.07 15.53 2.78 0.49 2.3146666666666667 3.735890552762785
"Luminosity " 0.5 0.11 3.08 4.7 0.87 0.38 12.12 2.09 0.96 1.54 3.14 0.6 2.06 3.35 0.86 2.424 2.8934887823064623
"Electron MisID Normalization " 0.42 0.05 3.61 1.09 0.11 0.06 2.12 0.76 0.31 1.62 0.37 13.84 15.4 2.65 0.34 2.85 4.73533103383491
"PDFs " 0.37 0.18 0.75 3.07 0.11 17.61 6.1 0.12 0.22 1.18 1.16 1.26 0.07 0.18 0.7 2.2053333333333334 4.392828802592799
"Electron Trigger Prefire Correction " 0.35 0.01 1.0 0.58 1.46 0.02 1.6 0.12 0.18 0.75 0.23 2.02 0.15 0.48 0.24 0.6126666666666668 0.6095732569228702
"Electron MisID Shape " 0.27 0.3 2.22 1.26 0.02 0.15 1.08 0.17 5.84 2.85 1.24 2.66 0.14 6.14 0.51 1.6566666666666667 1.9243965865232202
"Electron Reconstruction " 0.05 4.73 1.14 0.26 0.25 0.23 4.17 0.28 0.12 1.14 1.22 0.63 0.2 0.27 0.05 0.9826666666666667 1.4178738386126681
"Pileup " 0.04 0.04 0.18 0.38 0.63 17.59 0.25 0.3 0.52 1.39 0.05 1.23 1.83 0.06 0.19 1.6453333333333333 4.294470656812341
"Diboson Cross Section " 0.03 0.03 0.52 0.13 0.11 0.0 0.02 0.06 0.09 0.08 0.12 0.03 0.0 0.15 0.05 0.09466666666666666 0.12263042943014682
"$\gamma\gamma$ Cross Section " 0.01 0.02 0.47 0.01 0.04 0.0 0.44 0.01 0.15 0.17 0.07 0.41 0.07 0.1 0.01 0.132 0.1622426166784383
"Electron Trigger " 0.01 0.06 1.24 0.1 0.53 0.04 0.25 0.27 0.82 0.16 0.48 1.7 0.05 0.71 0.04 0.43066666666666664 0.48398989888449345
