"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" Mean
"LQ LO reweighting " 17.6 16.94 16.72 23.57 45.35 31.13 26.88 20.36 5.3 30.92 23.477000000000004
"DY Cross Section " 15.51 0.08 2.71 0.95 1.09 1.41 1.44 0.59 8.24 5.74 3.7760000000000007
"$e\mu$ Shape Corrections " 15.36 0.23 1.24 0.91 0.45 0.81 1.46 2.44 3.46 3.84 3.02
"Electron MisID Shape " 15.24 0.12 2.15 3.61 0.11 0.25 5.44 0.9 1.11 1.93 3.0859999999999994
"Electron MisID Normalization " 15.21 8.73 3.6 2.85 0.26 0.7 3.3 0.73 1.19 1.79 3.836
"Electron Momentum Scale " 12.22 22.11 4.06 12.2 1.77 14.02 21.94 11.47 9.66 17.32 12.677000000000001
"Electron Identification/Isolation " 3.29 8.05 50.39 14.73 13.49 17.67 4.52 38.7 46.49 2.33 19.966
"$\alpha_s$ + Renormalization/Factorization Scales " 2.01 8.62 1.89 11.6 23.9 0.85 1.33 2.49 2.06 6.04 6.079
"Luminosity " 1.37 8.63 3.07 7.9 0.98 0.63 2.49 6.01 6.48 0.56 3.8120000000000003
"$\ttbar$ Cross Section " 1.01 0.42 1.31 5.84 1.88 0.85 16.07 0.24 3.12 7.1 3.7840000000000003
"Electron Trigger Prefire Correction " 0.42 8.71 0.77 1.31 0.88 0.47 0.92 0.66 0.23 0.17 1.4540000000000002
"MC and MisID Backgrounds Statistical Uncertainty " 0.22 8.47 6.85 6.85 7.09 30.11 3.16 12.75 7.42 16.92 9.984
"Pileup " 0.22 8.73 1.39 0.96 1.65 0.1 1.72 0.05 0.37 1.15 1.634
"Electron Trigger " 0.15 0.06 1.58 0.14 0.7 0.05 0.65 0.11 0.23 0.34 0.40099999999999997
"PDFs " 0.08 0.05 1.13 4.51 0.07 0.24 6.04 1.11 3.1 3.0 1.9330000000000003
"Electron Reconstruction " 0.05 0.06 0.58 1.63 0.14 0.61 1.85 1.05 0.49 0.39 0.6849999999999999
"Diboson Cross Section " 0.04 0.01 0.44 0.27 0.05 0.02 0.22 0.23 0.71 0.45 0.244
"$\gamma\gamma$ Cross Section " 0.01 0.0 0.13 0.17 0.14 0.09 0.59 0.11 0.33 0.01 0.158
