"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri" Mean Std
"LQ LO reweighting " 35.61 76.07 21.31 5.6 51.88 11.32 10.71 32.48 22.37 10.48 22.21 38.07 19.27 9.19 23.54 26.00733333333333 18.15962645234997
"Electron Momentum Scale " 26.6 5.15 15.2 8.01 2.06 25.52 10.94 13.31 3.9 10.88 24.73 24.61 34.18 21.32 6.36 15.518000000000002 9.604114534927204
"PDFs " 6.06 1.99 3.7 2.1 0.77 1.11 7.46 2.91 3.98 0.73 1.82 5.15 5.45 1.84 1.45 3.1013333333333337 2.0306513459697824
"$\alpha_s$ + Renormalization/Factorization Scales " 5.29 0.28 5.69 5.93 13.06 4.38 19.38 2.52 1.88 0.89 2.62 0.39 3.82 13.06 2.07 5.417333333333334 5.340772062372839
"DY Cross Section " 5.07 0.43 5.35 0.39 0.38 1.22 2.39 7.24 12.26 0.57 1.37 1.17 2.83 1.64 3.73 3.0693333333333332 3.17914551762297
"MC and MisID Backgrounds Statistical Uncertainty " 4.83 0.36 3.59 4.89 5.93 6.69 4.09 13.75 10.44 1.25 3.62 11.39 9.02 10.53 11.86 6.816 3.961447210300801
"Electron Identification/Isolation " 4.23 8.31 21.78 48.54 16.8 28.98 8.86 13.12 20.5 1.02 23.75 6.04 10.02 25.05 34.42 18.09466666666667 12.418756710002102
"$\ttbar$ Cross Section " 3.4 2.17 1.56 6.94 1.69 3.14 1.04 2.0 3.85 2.1 2.79 4.01 2.23 3.78 5.51 3.080666666666666 1.5280465379765835
"Luminosity " 1.89 0.86 4.56 5.04 1.6 0.85 4.72 3.23 4.18 0.47 1.42 1.82 0.2 2.16 1.66 2.3106666666666666 1.568359936012422
"Electron MisID Shape " 1.76 0.6 2.82 0.34 0.74 2.04 6.72 1.88 2.27 11.4 0.28 1.41 5.07 1.03 0.26 2.5746666666666664 2.9383302892780603
"$e\mu$ Shape Corrections " 1.69 0.5 1.8 1.09 0.7 1.96 9.45 0.68 1.5 11.41 5.04 1.02 2.11 0.53 3.1 2.838666666666667 3.203990983480169
"Electron Trigger Prefire Correction " 0.81 0.13 0.92 1.25 1.21 1.86 3.85 0.9 1.39 0.43 1.38 1.4 0.58 1.01 1.44 1.2373333333333336 0.8199468817483783
"Electron MisID Normalization " 0.6 1.29 3.19 4.05 0.92 4.29 1.75 1.49 4.4 1.16 3.17 2.05 2.58 4.95 0.46 2.4233333333333333 1.4462626163859578
"Electron Reconstruction " 0.57 0.46 2.53 1.97 0.06 1.52 2.04 0.36 1.57 11.44 2.98 0.04 1.13 0.59 1.1 1.8906666666666665 2.693940030677908
"Pileup " 0.57 0.39 0.92 1.44 0.46 1.22 0.8 0.74 1.21 1.31 0.21 0.92 0.26 1.23 0.36 0.8026666666666668 0.40010776326162706
"$\gamma\gamma$ Cross Section " 0.43 0.39 0.52 0.39 0.45 1.4 1.8 2.03 0.1 11.45 0.06 0.17 0.13 0.73 0.5 1.37 2.7577067767742576
"Electron Trigger " 0.36 0.23 3.08 1.34 1.12 2.13 3.15 0.64 2.82 11.49 1.66 0.27 0.51 0.96 2.01 2.1180000000000003 2.6872766883966377
"Diboson Cross Section " 0.24 0.41 1.49 0.69 0.15 0.36 0.85 0.73 1.38 11.52 0.89 0.07 0.61 0.4 0.17 1.3306666666666667 2.753689565332705
