"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri" Mean
"LQ LO reweighting " 39.1 67.79 23.45 4.69 66.21 55.6 51.52 16.65 15.58 35.46 49.15 22.27 7.17 22.97 17.44 33.00333333333332
"Electron Momentum Scale " 25.44 4.06 15.73 4.68 1.36 11.69 13.79 18.81 23.64 6.72 17.03 6.57 25.04 2.87 6.95 12.291999999999998
"$\alpha_s$ + Renormalization/Factorization Scales " 8.81 1.34 6.06 8.89 8.25 1.65 2.78 7.37 0.47 11.33 2.45 17.43 5.57 4.19 2.29 5.925333333333334
"MC and MisID Backgrounds Statistical Uncertainty " 6.19 1.72 11.08 4.37 0.46 0.02 4.45 9.13 9.03 15.09 5.04 4.96 10.89 35.03 6.5 8.264000000000001
"$e\mu$ Shape Corrections " 3.78 1.23 0.13 0.32 0.28 1.09 1.34 0.37 5.08 3.2 2.1 2.4 0.59 4.61 2.55 1.938
"Electron Identification/Isolation " 3.65 17.57 24.47 59.24 15.61 21.23 17.33 33.91 17.46 4.64 10.03 23.31 30.98 5.76 41.79 21.79866666666667
"DY Cross Section " 3.31 0.19 3.99 0.29 0.72 3.32 2.36 2.18 4.62 0.21 0.21 4.15 0.71 0.43 1.96 1.9100000000000004
"Electron Trigger Prefire Correction " 3.22 0.24 1.75 1.77 1.11 0.46 0.23 0.97 1.65 3.38 1.53 2.63 1.13 3.29 4.07 1.8286666666666667
"PDFs " 2.04 0.19 1.27 1.8 0.29 0.6 1.11 2.52 0.85 5.81 3.71 2.25 7.89 2.2 7.41 2.6626666666666665
"$\ttbar$ Cross Section " 1.33 3.05 4.11 6.27 0.66 0.47 0.65 1.88 8.51 4.11 2.91 4.8 4.61 10.59 0.65 3.64
"Electron MisID Normalization " 1.05 0.43 0.36 1.66 0.26 0.23 0.2 0.17 0.68 2.41 0.12 2.09 1.57 2.35 0.07 0.91
"Electron Reconstruction " 0.57 0.12 1.54 2.12 0.13 0.57 0.57 1.55 0.86 1.22 1.32 1.63 0.45 0.17 0.33 0.8766666666666666
"Luminosity " 0.56 0.63 0.47 0.46 1.52 1.79 1.85 2.09 8.8 3.85 1.73 3.19 0.29 3.07 4.69 2.332666666666667
"Electron Trigger " 0.52 0.31 1.72 1.11 1.06 0.34 0.22 0.27 0.26 0.25 0.92 1.07 0.51 0.07 1.79 0.6946666666666668
"$\gamma\gamma$ Cross Section " 0.19 0.1 0.55 0.51 0.3 0.07 0.16 0.22 0.24 0.3 0.15 0.52 0.48 0.56 0.23 0.30533333333333335
"Pileup " 0.1 0.24 0.72 0.11 1.13 0.17 0.17 1.08 1.36 0.48 1.07 0.5 0.2 0.05 0.45 0.522
"Electron MisID Shape " 0.08 0.59 1.72 1.24 0.39 0.16 1.03 0.51 0.42 1.18 0.31 0.13 1.7 1.23 0.44 0.7419999999999999
"Diboson Cross Section " 0.07 0.19 0.88 0.48 0.25 0.55 0.23 0.31 0.47 0.35 0.2 0.12 0.21 0.56 0.41 0.352
