"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri" Mean Std
"Electron Momentum Scale " 74.42 5.85 3.86 9.28 0.4 13.86 37.13 23.08 13.1 7.67 20.37 23.86 7.18 30.15 8.85 18.604 17.961255264225457
"LQ LO reweighting " 14.44 11.86 23.75 15.32 55.36 10.05 7.39 28.69 45.39 69.97 8.18 16.43 8.26 10.21 60.18 25.698666666666668 20.61082365058601
"Electron Identification/Isolation " 2.38 5.77 51.19 38.33 20.11 26.58 24.97 8.87 3.21 7.9 0.03 10.56 1.28 28.59 10.77 16.036 14.614141918018996
"MC and MisID Backgrounds Statistical Uncertainty " 1.99 0.14 2.18 9.52 10.14 1.52 11.8 16.15 10.21 3.86 0.64 8.02 21.85 0.75 1.56 6.688666666666667 6.312809059540945
"$\alpha_s$ + Renormalization/Factorization Scales " 1.33 2.04 2.37 7.72 5.35 6.92 1.0 2.22 3.43 3.76 23.64 8.86 29.31 1.1 0.33 6.625333333333333 8.241375990829578
"DY Cross Section " 1.3 0.01 0.8 1.37 1.22 6.7 4.11 0.06 6.15 1.04 0.24 7.24 0.55 1.31 4.19 2.4193333333333333 2.4581496202541366
"$e\mu$ Shape Corrections " 1.12 0.09 0.81 0.05 0.45 5.45 5.05 7.8 2.44 0.19 0.21 0.67 0.19 0.84 0.49 1.7233333333333336 2.325008004765193
"$\ttbar$ Cross Section " 0.77 0.15 2.08 3.93 1.56 7.22 0.61 6.91 2.3 2.17 0.2 1.97 29.83 15.2 0.54 5.0293333333333345 7.653915308883131
"Electron Trigger Prefire Correction " 0.58 24.58 1.06 0.38 0.8 1.78 0.96 0.32 4.71 0.22 0.01 0.78 0.35 0.59 0.38 2.5 6.001773071351498
"Luminosity " 0.54 0.02 3.42 6.94 1.31 6.22 0.24 2.7 3.2 0.47 0.24 15.46 0.22 3.23 4.17 3.2253333333333325 3.9094993143481807
"PDFs " 0.5 0.04 1.69 0.98 0.3 1.21 4.94 0.17 0.18 0.32 22.64 0.84 0.02 5.38 1.55 2.717333333333334 5.562094889118268
"Electron MisID Normalization " 0.23 24.79 1.31 2.09 0.25 3.48 0.49 0.36 0.85 0.93 0.07 1.88 0.33 0.25 1.68 2.5993333333333335 5.99997940737207
"Electron Reconstruction " 0.17 0.0 1.1 0.58 0.46 0.52 0.57 0.19 0.75 0.47 0.06 1.48 0.04 0.63 0.62 0.5093333333333333 0.39049484276008334
"Electron Trigger " 0.07 0.02 0.9 0.36 0.61 2.73 0.19 0.3 0.57 0.43 23.32 1.03 0.11 0.38 1.01 2.1353333333333335 5.698368031482542
"Diboson Cross Section " 0.06 0.01 0.26 0.28 0.16 0.61 0.08 0.34 0.09 0.3 0.01 0.02 0.01 0.57 1.06 0.2573333333333333 0.2855746642979536
"Electron MisID Shape " 0.05 0.02 2.13 2.37 0.29 1.82 0.37 1.6 1.01 0.11 0.09 0.7 0.38 0.22 0.95 0.8073333333333333 0.7788407339686908
"Pileup " 0.04 24.62 1.02 0.46 1.15 3.04 0.05 0.13 2.24 0.18 0.01 0.14 0.03 0.39 1.18 2.312 6.0244858148503715
"$\gamma\gamma$ Cross Section " 0.02 0.0 0.09 0.02 0.09 0.28 0.06 0.09 0.17 0.01 0.01 0.04 0.07 0.21 0.51 0.11133333333333334 0.13190232076132027
