"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri" Mean
"LQ LO reweighting " 38.81 61.56 23.42 5.37 63.81 63.52 19.68 20.19 20.57 25.51 12.72 7.25 23.06 84.9 63.01 35.55866666666667
"Electron Momentum Scale " 26.14 4.02 21.6 4.28 1.19 7.74 13.82 16.79 24.6 15.82 10.45 11.22 10.13 5.06 4.19 11.803333333333331
"$\alpha_s$ + Renormalization/Factorization Scales " 8.56 8.63 6.47 9.57 8.54 3.75 2.8 0.31 2.79 12.72 13.56 5.0 12.77 0.11 1.34 6.461333333333333
"MC and MisID Backgrounds Statistical Uncertainty " 6.32 1.92 11.41 4.05 1.16 2.12 4.47 2.67 4.94 2.23 8.95 6.67 1.35 1.81 2.11 4.145333333333333
"$e\mu$ Shape Corrections " 4.03 1.35 0.6 0.31 0.15 1.17 2.51 5.79 2.3 2.28 1.0 0.26 4.87 0.26 2.15 1.9353333333333336
"Electron Identification/Isolation " 3.28 15.82 21.82 58.85 16.89 12.89 32.5 18.77 18.5 10.0 32.15 35.13 26.96 4.74 10.35 21.243333333333336
"Electron Trigger Prefire Correction " 3.19 0.02 0.85 1.56 1.85 1.23 2.46 1.68 4.54 1.24 0.79 4.43 0.46 0.2 0.81 1.687333333333333
"DY Cross Section " 2.89 0.64 2.24 1.15 0.11 2.03 7.62 0.36 1.18 0.91 0.72 2.78 0.93 0.45 2.59 1.7733333333333332
"PDFs " 1.96 0.41 1.13 1.12 0.19 0.31 1.98 2.36 6.38 2.33 1.54 5.44 8.18 0.41 5.02 2.583999999999999
"$\ttbar$ Cross Section " 1.07 2.63 3.92 5.9 1.51 2.38 5.17 11.97 6.51 11.6 7.94 10.52 2.99 0.62 4.85 5.305333333333333
"Electron Trigger " 0.74 0.2 1.32 0.87 1.05 0.06 0.61 0.42 0.12 1.16 4.83 1.17 0.64 0.01 0.4 0.9066666666666666
"Electron MisID Normalization " 0.71 0.69 1.03 1.84 0.24 0.12 1.11 6.27 2.3 7.51 0.65 2.05 0.41 0.28 0.43 1.7093333333333334
"Diboson Cross Section " 0.62 0.29 0.26 0.76 0.15 0.43 0.52 0.45 0.32 0.77 0.13 0.26 0.2 0.25 0.35 0.384
"Luminosity " 0.58 0.37 0.55 0.42 1.58 1.07 2.06 6.29 1.36 2.08 1.94 5.24 1.25 0.37 0.29 1.6966666666666665
"Electron MisID Shape " 0.42 0.62 2.09 1.64 0.24 0.83 1.24 0.62 0.62 0.72 0.83 1.18 2.42 0.18 0.42 0.9380000000000001
"Electron Reconstruction " 0.31 0.34 0.9 1.18 0.05 0.13 0.81 4.06 0.85 1.57 0.99 0.2 1.67 0.14 0.68 0.9253333333333332
"Pileup " 0.26 0.42 0.2 0.42 1.15 0.04 0.19 0.59 1.77 0.99 0.5 0.37 1.09 0.15 0.69 0.5886666666666666
"$\gamma\gamma$ Cross Section " 0.11 0.07 0.18 0.72 0.1 0.18 0.45 0.39 0.35 0.58 0.33 0.83 0.63 0.08 0.34 0.356
