"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri" Mean
"LQ LO reweighting " 79.13 16.48 24.61 56.64 48.03 28.52 46.89 24.27 11.57 29.63 7.24 23.45 75.89 25.23 48.3 36.392
"DY Cross Section " 8.07 13.39 19.71 6.09 3.51 18.23 17.28 12.19 25.23 9.03 14.8 20.75 7.95 12.37 2.47 12.738
"$\ttbar$ Cross Section " 3.41 3.29 6.85 4.58 6.03 9.39 5.94 22.41 0.8 9.19 4.57 6.24 2.81 16.09 6.88 7.232
"$\alpha_s$ + Renormalization/Factorization Scales " 2.4 21.88 5.45 1.8 18.72 24.85 10.23 13.65 21.92 13.05 13.53 17.86 2.33 23.5 20.5 14.111333333333336
"Luminosity " 1.69 6.93 6.41 11.08 7.78 0.19 5.33 2.17 5.63 9.53 21.38 11.76 3.28 1.25 4.78 6.612666666666668
"MC and MisID Backgrounds Statistical Uncertainty " 1.33 16.54 10.91 5.99 0.42 4.5 2.11 4.03 17.9 10.1 12.77 1.88 3.14 9.13 6.34 7.139333333333332
"$e\mu$ Shape Corrections " 1.2 1.21 3.34 1.16 1.65 1.74 1.47 1.18 2.18 1.02 5.15 0.41 1.21 0.64 0.92 1.6320000000000006
"Muon Identification/Isolation " 0.84 7.52 2.05 1.64 4.71 5.58 2.95 9.02 4.36 0.16 11.11 1.84 0.29 0.91 0.87 3.5899999999999994
"Pileup " 0.52 0.27 2.49 3.68 0.63 0.91 0.33 0.1 1.1 0.74 0.15 3.89 0.34 0.28 0.23 1.044
"Muon Trigger " 0.46 0.23 2.29 0.42 0.2 0.29 0.29 0.17 1.27 1.0 0.97 1.32 0.18 1.64 0.41 0.7426666666666666
"Muon MisID Normalization " 0.26 0.16 0.61 0.04 0.29 0.29 0.47 0.48 0.45 0.17 0.26 0.39 0.12 0.37 0.4 0.31733333333333336
"Muon MisID Shape " 0.23 0.43 1.17 0.12 0.09 0.57 0.49 0.83 0.77 0.32 0.49 0.15 0.05 0.43 0.23 0.4246666666666667
"Muon Trigger Prefire Correction " 0.16 0.05 0.9 0.5 0.14 0.16 0.0 0.51 0.35 0.17 0.47 0.61 0.13 0.58 0.09 0.32133333333333336
"Muon Momentum Scale " 0.14 1.11 4.26 4.07 1.28 0.76 4.81 1.39 2.29 1.82 1.19 1.39 0.64 2.19 0.41 1.8500000000000003
"Diboson Cross Section " 0.09 1.77 1.93 0.55 0.97 0.74 0.11 2.55 1.59 2.81 0.92 1.03 0.12 1.2 1.01 1.1593333333333333
"$\PGg\PGg$ Cross Section " 0.04 1.1 3.06 1.21 0.73 1.06 0.71 0.94 0.5 0.39 0.47 1.05 0.02 0.6 0.12 0.8000000000000002
"PDFs " 0.03 7.65 3.94 0.42 4.83 2.22 0.58 4.12 2.1 10.87 4.52 5.97 1.49 3.59 6.04 3.8913333333333333
