"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri" Mean Std
"LQ LO reweighting " 40.48 5.12 3.24 28.3 34.98 45.73 20.21 12.04 9.26 21.63 43.7 21.85 33.16 29.42 22.56 24.77866666666667 13.037201062941215
"DY Cross Section " 21.18 16.73 29.42 6.15 4.99 1.42 6.91 14.65 8.28 13.82 10.26 17.6 2.64 26.97 4.3 12.354666666666667 8.402314654638658
"$\alpha_s$ + Renormalization/Factorization Scales " 12.29 24.64 7.8 26.52 5.62 12.62 23.14 39.28 15.05 3.04 5.05 16.76 4.21 3.83 3.14 13.53266666666667 10.420977859853439
"MC and MisID Backgrounds Statistical Uncertainty " 5.65 15.37 4.76 0.96 5.27 3.31 5.57 1.64 10.66 12.62 8.96 3.87 14.97 2.89 7.23 6.915333333333335 4.470189953706915
"Luminosity " 5.64 7.63 6.62 14.14 7.15 10.18 6.49 1.44 4.97 1.4 8.7 6.16 9.14 6.49 3.2 6.623333333333334 3.17182527191451
"$e\mu$ Shape Corrections " 3.09 1.42 9.76 1.66 0.81 3.91 6.19 3.22 0.35 10.05 1.84 1.54 8.49 2.24 0.52 3.672666666666667 3.2262412942755674
"$\ttbar$ Cross Section " 2.76 4.0 7.78 2.27 11.17 12.53 10.11 11.76 3.5 9.82 6.43 18.56 13.45 7.08 20.17 9.425999999999998 5.235742290576699
"Muon Momentum Scale " 2.54 6.49 1.71 5.12 5.28 1.79 3.62 9.29 8.85 4.13 3.13 1.93 2.76 7.8 4.17 4.574000000000001 2.4375774859478825
"Muon Identification/Isolation " 1.75 1.98 3.61 1.72 3.31 2.02 0.46 0.14 5.24 11.31 3.46 3.65 0.28 0.84 6.82 3.1060000000000008 2.8460119465666343
"PDFs " 1.39 3.96 2.31 4.36 7.45 0.69 4.86 1.65 1.9 0.63 4.15 1.91 1.15 2.37 4.21 2.865999999999999 1.836877059939868
"Muon MisID Shape " 1.34 1.16 5.75 0.72 0.04 0.42 1.97 0.33 0.49 0.33 0.15 0.94 0.57 1.43 2.56 1.2133333333333334 1.3901015150780254
"Muon Trigger " 1.08 1.4 1.62 2.95 5.04 1.48 1.41 0.6 0.09 0.05 0.04 0.68 1.27 2.22 3.65 1.5719999999999998 1.3580387819695479
"Pileup " 0.41 1.53 1.8 1.24 3.88 2.85 2.0 1.77 8.95 0.74 1.79 1.07 0.69 1.95 4.0 2.3113333333333332 2.0451597057986013
"Diboson Cross Section " 0.24 3.68 2.23 1.57 0.22 0.78 1.93 0.77 8.51 0.3 1.51 1.09 3.68 0.42 4.5 2.0953333333333335 2.1618383123834417
"Muon Trigger Prefire Correction " 0.1 0.59 1.74 0.64 0.02 0.06 1.92 0.63 0.33 0.22 0.04 0.16 1.47 1.03 2.53 0.7653333333333332 0.7704446046854303
"$\gamma\gamma$ Cross Section " 0.03 1.34 4.76 0.29 4.75 0.19 2.65 0.31 9.54 9.71 0.61 0.48 1.22 1.52 2.87 2.6846666666666663 3.0992232718681123
"Muon MisID Normalization " 0.03 2.95 5.1 1.36 0.02 0.04 0.57 0.48 4.03 0.21 0.16 1.74 0.86 1.52 3.57 1.5093333333333332 1.5933631796367775
