"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri" Mean Std
"LQ LO reweighting " 43.79 77.53 16.48 6.27 55.52 32.02 14.26 26.73 33.89 37.75 39.43 9.3 7.7 47.53 11.34 30.636000000000003 19.74552803379371
"Electron Momentum Scale " 16.94 5.66 14.8 11.36 2.8 5.92 10.4 6.86 2.77 15.16 14.13 18.0 9.45 3.28 15.17 10.18 5.177219330876373
"Electron Identification/Isolation " 13.38 7.06 18.98 40.1 16.9 34.58 17.95 24.79 17.89 15.37 19.84 19.93 31.47 16.36 18.87 20.898000000000003 8.268664704775494
"$\alpha_s$ + Renormalization/Factorization Scales " 5.86 0.34 5.78 7.64 12.15 7.01 5.07 1.84 4.18 0.89 2.74 6.71 6.66 5.53 12.42 5.654666666666667 3.3906397954106278
"MC and MisID Backgrounds Statistical Uncertainty " 4.43 0.93 5.93 7.01 4.51 2.67 5.15 7.27 24.38 12.56 4.83 13.43 8.58 10.58 26.83 9.272666666666664 7.22559106386614
"DY Cross Section " 3.15 0.68 4.89 1.84 0.4 1.95 7.36 5.93 0.37 0.85 0.4 1.01 5.18 1.0 1.17 2.4120000000000004 2.235385723613116
"$\ttbar$ Cross Section " 2.71 2.28 1.26 6.36 1.45 4.0 18.11 3.22 5.63 6.13 4.94 4.63 2.03 2.49 1.19 4.428666666666667 4.030531588871235
"$e\mu$ Shape Corrections " 2.24 0.98 1.41 1.15 0.83 1.85 1.68 0.11 1.96 0.11 2.19 2.01 4.6 3.37 3.69 1.8786666666666667 1.21426447787219
"PDFs " 2.18 1.75 6.7 2.2 0.62 1.36 5.81 7.76 1.1 4.21 3.0 2.13 4.63 2.96 3.16 3.3046666666666673 2.042798298630799
"Electron Trigger Prefire Correction " 1.88 0.21 1.02 2.41 0.51 0.29 0.58 0.23 2.02 4.21 1.89 0.14 2.4 1.35 0.28 1.2946666666666669 1.127687111845401
"Electron MisID Shape " 1.26 0.42 3.05 1.24 0.55 2.94 3.3 1.51 1.54 0.87 0.95 6.8 2.88 1.56 0.99 1.9906666666666664 1.5760307385609231
"Luminosity " 0.55 0.68 5.99 5.41 1.44 1.49 1.78 7.52 0.59 0.49 0.16 3.86 1.87 0.47 0.7 2.2 2.266374490973046
"Electron Trigger " 0.55 0.08 3.22 1.59 0.89 0.45 0.8 0.27 0.5 0.04 0.54 3.98 0.46 0.3 2.4 1.0713333333333332 1.1587859547340438
"Electron Reconstruction " 0.52 0.28 3.11 1.31 0.14 1.9 1.54 2.18 1.23 0.59 1.76 1.08 1.73 1.84 0.32 1.302 0.8028466022016079
"Pileup " 0.32 0.12 0.41 0.65 0.14 0.39 1.89 1.04 0.52 0.24 0.89 0.27 0.57 0.22 0.1 0.518 0.4534490048506006
"$\gamma\gamma$ Cross Section " 0.17 0.24 1.19 0.2 0.15 0.17 0.53 0.58 0.32 0.25 0.04 0.7 0.79 0.1 0.14 0.3713333333333333 0.31125266620901776
"Electron MisID Normalization " 0.05 0.67 3.82 2.6 0.97 0.63 3.76 1.68 0.74 0.26 1.75 4.14 8.76 0.81 1.11 2.1166666666666663 2.1960651680271743
"Diboson Cross Section " 0.02 0.09 1.96 0.66 0.05 0.39 0.03 0.48 0.37 0.02 0.5 1.86 0.23 0.25 0.14 0.47 0.596657355607052
