"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri" Mean
"LQ LO reweighting " 38.5 67.51 23.73 5.11 62.71 18.22 21.23 13.28 39.84 26.51 66.13 16.01 55.35 60.6 2.47 34.480000000000004
"Electron Momentum Scale " 25.64 4.1 15.53 4.86 1.26 17.13 4.24 6.28 4.01 7.24 9.97 11.33 2.79 5.82 16.5 9.113333333333333
"$\alpha_s$ + Renormalization/Factorization Scales " 8.47 8.8 6.22 8.93 8.74 33.43 14.49 3.41 1.2 1.19 4.4 8.41 9.93 2.72 0.91 8.083333333333334
"MC and MisID Backgrounds Statistical Uncertainty " 6.02 1.83 10.69 4.71 1.23 3.94 13.03 14.15 11.54 19.81 2.55 16.66 11.05 3.6 6.59 8.493333333333332
"$e\mu$ Shape Corrections " 3.97 1.06 0.03 0.55 0.53 1.49 0.63 5.04 2.03 1.4 0.41 2.23 1.17 3.01 2.83 1.7586666666666664
"Electron Identification/Isolation " 3.35 10.22 24.73 59.24 16.42 1.79 10.11 39.69 21.32 27.8 8.56 8.24 2.93 9.69 37.27 18.757333333333335
"DY Cross Section " 3.17 0.59 4.44 0.29 0.24 16.37 2.29 0.32 1.59 2.09 0.54 1.32 1.91 0.74 3.38 2.618666666666667
"Electron Trigger Prefire Correction " 3.13 0.19 1.24 1.28 1.1 0.72 0.36 1.78 1.46 1.24 1.3 1.21 2.96 2.34 0.82 1.4086666666666665
"PDFs " 2.39 0.06 1.34 1.58 0.56 0.87 7.68 0.44 3.99 3.41 2.77 2.26 0.94 0.4 5.08 2.2513333333333336
"$\ttbar$ Cross Section " 1.2 3.13 3.87 6.26 1.43 0.97 6.12 6.94 2.39 6.12 0.6 3.6 2.16 2.32 11.48 3.906
"Electron Reconstruction " 0.98 0.21 1.53 2.3 0.47 0.17 1.11 0.65 1.64 0.59 0.46 2.42 0.61 1.08 0.2 0.9613333333333334
"Luminosity " 0.88 0.39 0.15 0.34 1.41 1.92 9.18 0.76 2.05 1.35 0.93 9.48 5.49 2.79 4.39 2.767333333333333
"Electron Trigger " 0.81 0.24 1.88 1.05 1.54 0.05 1.34 0.19 1.13 0.13 0.31 1.07 0.47 1.0 0.43 0.7760000000000001
"Electron MisID Normalization " 0.68 0.35 0.69 1.31 0.31 2.46 5.19 3.35 2.83 0.05 0.08 3.57 0.06 0.71 4.92 1.7706666666666668
"Electron MisID Shape " 0.31 0.84 1.95 1.25 0.18 0.32 1.4 2.53 1.18 0.53 0.1 7.32 0.33 1.39 1.12 1.383333333333333
"$\gamma\gamma$ Cross Section " 0.21 0.36 0.47 0.52 0.43 0.01 0.21 0.42 0.65 0.04 0.17 0.78 0.18 0.46 0.43 0.3559999999999999
"Diboson Cross Section " 0.18 0.1 1.0 0.26 0.05 0.01 0.16 0.14 0.23 0.33 0.36 0.55 0.43 0.52 0.19 0.3006666666666667
"Pileup " 0.09 0.03 0.5 0.17 1.39 0.13 1.24 0.64 0.91 0.18 0.35 3.53 1.24 0.82 0.99 0.814
