"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri" Mean Std
"LQ LO reweighting " 48.19 4.6 8.45 28.96 45.62 23.43 79.17 39.66 19.03 37.74 2.14 71.45 22.13 14.4 10.15 30.34133333333333 22.52668990824489
"DY Cross Section " 19.95 18.98 28.78 7.65 5.03 28.43 6.26 6.49 13.8 10.36 30.18 6.07 13.26 4.72 37.21 15.811333333333334 10.4501686536098
"$\alpha_s$ + Renormalization/Factorization Scales " 6.51 18.15 8.03 22.51 15.98 5.19 4.23 18.86 36.4 5.48 15.13 2.52 20.52 2.85 10.52 12.858666666666668 9.124377506925548
"$\ttbar$ Cross Section " 5.32 4.41 7.62 1.68 6.88 8.6 1.71 5.29 5.1 2.15 5.97 3.52 2.86 10.06 9.07 5.349333333333334 2.6066746802945873
"MC and MisID Backgrounds Statistical Uncertainty " 5.1 18.18 5.06 3.42 2.69 4.17 3.12 5.1 0.89 10.47 6.75 2.2 4.52 10.64 7.95 6.017333333333332 4.2326137971182245
"Luminosity " 4.18 10.0 6.82 15.39 6.9 1.77 1.4 4.48 1.77 24.37 1.46 4.58 21.25 8.96 2.54 7.724666666666666 7.009453489554105
"Muon Momentum Scale " 4.03 9.23 3.37 7.04 5.41 18.63 0.17 8.39 8.62 0.88 17.0 5.0 1.25 15.47 3.98 7.231333333333334 5.600822399929814
"$e\mu$ Shape Corrections " 1.95 1.49 9.84 0.92 1.5 1.68 0.65 2.22 0.79 1.58 4.34 0.62 5.95 4.69 7.62 3.0559999999999996 2.730498855520727
"PDFs " 1.72 6.38 2.39 3.85 5.58 3.59 1.54 3.92 6.13 2.07 6.36 2.3 0.2 20.17 2.26 4.564000000000001 4.568634807029339
"Muon Trigger " 0.83 0.24 3.17 1.02 0.4 0.27 0.25 0.38 1.66 2.09 1.48 0.67 1.65 0.64 0.11 0.9906666666666666 0.8351244750867315
"Muon Identification/Isolation " 0.77 3.76 3.39 3.07 0.32 1.61 0.45 0.82 0.35 0.28 6.5 0.13 3.44 3.81 2.82 2.1013333333333333 1.8212225442146153
"Muon Trigger Prefire Correction " 0.38 0.28 0.96 0.96 0.34 0.2 0.08 0.47 0.19 0.39 0.32 0.12 0.09 0.45 0.38 0.374 0.259584283037321
"Muon MisID Shape " 0.34 0.51 0.92 1.06 0.2 0.51 0.16 1.09 0.26 0.58 0.41 0.13 0.58 0.44 0.54 0.5153333333333333 0.2928678124266229
"Diboson Cross Section " 0.3 2.32 1.95 0.11 1.31 1.52 0.44 0.37 2.23 0.09 0.19 0.09 0.42 0.48 0.16 0.7986666666666667 0.7972274177143907
"Muon MisID Normalization " 0.18 0.23 4.88 0.14 0.25 0.11 0.12 0.95 0.58 0.45 0.59 0.05 0.52 1.01 0.91 0.7313333333333334 1.1516994206630284
"$\gamma\gamma$ Cross Section " 0.13 0.79 2.79 0.75 0.32 0.02 0.13 0.23 0.38 0.58 0.65 0.13 0.41 0.25 1.44 0.6 0.6823781942588728
"Pileup " 0.13 0.42 1.59 1.47 1.27 0.3 0.14 1.28 1.82 0.46 0.51 0.41 0.94 0.97 2.34 0.9366666666666668 0.649888879390589
