"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri" Mean Std
"LQ LO reweighting " 46.39 93.77 10.95 3.68 57.27 19.56 21.84 8.81 7.38 33.12 16.49 42.65 45.77 29.74 64.94 33.49066666666666 24.371940551015268
"Electron Momentum Scale " 20.1 1.32 16.58 4.67 1.45 34.62 6.3 45.95 2.1 27.0 9.81 0.92 17.14 4.65 3.09 13.046666666666665 13.307659782579687
"MC and MisID Backgrounds Statistical Uncertainty " 10.14 0.49 12.32 1.57 5.09 2.37 14.57 12.87 3.74 6.09 36.51 3.54 1.49 26.24 12.29 9.954666666666666 9.725266657298171
"Electron Identification/Isolation " 5.54 1.28 31.5 58.74 20.19 18.0 17.02 13.78 25.93 8.18 10.08 8.47 18.42 4.22 8.12 16.631333333333338 13.83911744135281
"$\alpha_s$ + Renormalization/Factorization Scales " 4.26 0.27 1.37 11.11 9.81 1.45 2.76 9.86 32.88 2.11 2.6 6.77 5.91 9.76 3.11 6.935333333333333 7.759810020583981
"$e\mu$ Shape Corrections " 3.04 0.25 1.23 1.1 0.64 0.99 3.94 0.41 0.9 2.78 0.41 1.59 0.91 1.39 0.2 1.3186666666666667 1.0664574794878394
"DY Cross Section " 2.93 0.38 5.63 1.33 0.09 3.65 12.48 3.75 6.17 2.66 5.41 2.57 0.66 5.98 2.01 3.713333333333333 3.0524256292696506
"$\ttbar$ Cross Section " 1.44 0.38 0.35 6.82 0.8 6.01 0.04 0.33 0.91 5.67 8.53 4.3 4.14 0.24 0.45 2.6940000000000004 2.8105344687443345
"Luminosity " 1.19 0.31 5.94 0.79 1.1 1.24 9.07 1.58 2.98 0.45 0.37 25.98 1.38 5.19 0.38 3.8633333333333337 6.399029787571099
"Electron Trigger Prefire Correction " 1.19 0.06 1.07 3.01 0.46 0.97 0.26 0.11 0.99 4.29 1.75 0.14 0.4 1.25 0.43 1.092 1.1355949982278013
"Electron MisID Shape " 1.17 0.14 0.84 0.92 0.26 1.43 2.0 0.24 3.74 1.35 1.54 0.39 0.58 0.77 0.4 1.0513333333333332 0.8927176983172725
"Electron Reconstruction " 1.0 0.06 2.13 1.89 0.03 2.3 0.67 0.14 0.6 2.88 0.46 0.57 0.09 1.09 0.62 0.9686666666666667 0.8782092891535339
"Electron MisID Normalization " 0.67 0.36 0.62 1.24 0.22 2.07 3.64 0.35 6.51 0.38 3.79 0.86 0.6 0.26 1.05 1.508 1.7369175762443845
"Pileup " 0.33 0.02 1.82 0.27 0.42 2.66 2.54 0.27 0.48 0.55 0.1 0.05 0.09 0.71 0.09 0.6933333333333332 0.8612445774704317
"PDFs " 0.24 0.64 0.69 2.09 0.44 0.9 1.93 0.85 1.44 0.94 0.8 0.6 1.0 6.66 1.64 1.3906666666666667 1.5001220691071186
"Electron Trigger " 0.21 0.21 4.98 0.45 1.31 0.66 0.32 0.36 1.39 0.43 0.3 0.34 1.14 0.73 0.29 0.8746666666666667 1.1615614012564677
"Diboson Cross Section " 0.1 0.07 1.34 0.09 0.16 0.6 0.44 0.17 1.66 0.53 0.46 0.09 0.11 0.69 0.2 0.4473333333333333 0.462564830291087
"$\gamma\gamma$ Cross Section " 0.06 0.01 0.65 0.23 0.25 0.54 0.18 0.17 0.21 0.61 0.59 0.18 0.17 0.43 0.7 0.33199999999999996 0.22235707019716433
