"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri" Mean
"$\alpha_s$ + Renormalization/Factorization Scales " 49.96 43.09 7.54 20.47 7.79 6.19 59.67 6.54 2.29 44.11 10.04 13.45 0.65 2.07 8.68 18.836000000000002
"LQ LO reweighting " 19.36 2.65 15.65 15.26 76.19 11.7 10.23 22.43 80.06 3.29 44.63 36.37 42.6 29.32 19.02 28.584
"DY Cross Section " 13.75 13.84 39.94 18.57 0.35 0.57 0.62 19.74 1.02 17.42 2.36 1.85 3.07 11.21 1.57 9.725333333333332
"$\ttbar$ Cross Section " 6.25 5.55 6.54 1.72 3.81 7.77 15.24 7.07 3.06 6.9 5.7 9.77 7.0 7.89 5.13 6.626666666666666
"Luminosity " 2.82 0.46 8.49 19.6 2.81 39.13 2.17 19.27 0.8 1.51 14.85 5.4 3.69 5.07 4.65 8.714666666666666
"MC and MisID Backgrounds Statistical Uncertainty " 2.05 13.73 3.26 18.96 2.83 11.25 4.64 2.82 3.14 10.82 1.84 11.25 24.84 6.59 42.1 10.674666666666667
"Muon Trigger " 1.41 0.05 0.56 0.05 0.06 1.53 0.03 0.01 0.57 0.46 1.25 0.28 0.11 0.42 1.11 0.5266666666666667
"$e\mu$ Shape Corrections " 1.01 1.92 2.81 0.67 0.97 1.58 0.53 0.95 3.5 0.72 2.29 2.88 2.29 0.51 1.68 1.6206666666666665
"PDFs " 0.89 7.25 1.83 0.78 1.47 7.37 0.37 1.2 1.06 4.05 5.18 4.66 4.38 1.4 1.63 2.9013333333333335
"Muon Momentum Scale " 0.73 3.32 3.13 0.87 0.3 7.3 2.6 19.5 1.06 6.04 4.02 3.34 6.34 2.49 5.72 4.450666666666668
"Pileup " 0.53 0.11 0.88 0.28 0.57 0.46 2.58 0.09 0.45 1.66 1.05 1.27 1.12 1.12 3.11 1.0186666666666668
"Muon Identification/Isolation " 0.44 5.55 2.45 1.85 1.9 4.08 0.03 0.07 0.08 2.43 5.19 7.65 2.39 29.18 4.23 4.501333333333334
"Muon MisID Shape " 0.4 0.23 0.77 0.14 0.08 0.24 0.15 0.07 0.47 0.09 0.98 0.5 0.0 0.81 0.26 0.346
"Diboson Cross Section " 0.17 1.22 2.0 0.11 0.16 0.11 0.91 0.09 0.64 0.14 0.35 0.73 1.29 0.33 0.06 0.5539999999999999
"Muon MisID Normalization " 0.09 0.06 1.38 0.19 0.13 0.32 0.13 0.1 0.62 0.08 0.12 0.15 0.09 0.89 0.12 0.298
"Muon Trigger Prefire Correction " 0.09 0.21 0.43 0.43 0.1 0.23 0.06 0.01 0.45 0.12 0.05 0.42 0.11 0.16 0.1 0.198
"$\PGg\PGg$ Cross Section " 0.04 0.74 2.35 0.04 0.48 0.19 0.03 0.03 0.72 0.17 0.11 0.01 0.04 0.54 0.83 0.4213333333333333
