"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" Mean
"Muon Momentum Scale " 20.9 12.32 3.86 4.54 0.31 1.04 7.59 3.92 3.14 16.91 7.453
"MC and MisID Backgrounds Statistical Uncertainty " 20.5 24.22 8.64 8.55 3.04 13.69 8.65 14.23 3.16 7.5 11.218
"PDFs " 19.6 3.92 2.0 1.99 1.15 0.63 1.38 5.62 0.77 0.32 3.7380000000000004
"LQ LO reweighting " 16.2 1.29 13.26 38.77 79.19 14.31 36.21 9.38 62.73 15.07 28.641000000000002
"$\alpha_s$ + Renormalization/Factorization Scales " 14.63 20.69 4.84 18.02 6.03 9.94 10.43 21.23 8.27 2.03 11.610999999999999
"DY Cross Section " 3.11 12.48 39.19 6.64 0.52 14.48 5.59 0.56 7.39 0.09 9.005
"$\ttbar$ Cross Section " 2.58 7.2 2.95 4.46 3.88 2.63 8.17 19.21 0.19 6.72 5.7989999999999995
"$e\mu$ Shape Corrections " 1.2 1.96 4.15 1.97 1.14 13.6 5.43 7.66 4.39 16.43 5.793
"Muon Trigger " 0.3 0.26 1.15 0.93 0.21 0.17 0.51 1.72 0.29 0.4 0.5940000000000001
"Muon Identification/Isolation " 0.3 5.66 3.22 3.79 0.15 13.55 5.23 4.03 1.51 0.75 3.819
"Muon MisID Shape " 0.24 0.26 1.81 1.49 0.22 0.37 0.29 1.01 0.25 0.08 0.602
"Pileup " 0.19 0.28 1.07 1.62 0.73 0.77 3.09 2.23 0.35 0.4 1.073
"Luminosity " 0.17 4.18 4.53 4.19 2.87 14.29 5.84 6.3 5.96 16.58 6.491
"Muon Trigger Prefire Correction " 0.03 0.19 0.91 0.54 0.06 0.04 0.33 0.09 0.09 0.14 0.242
"Muon MisID Normalization " 0.03 0.55 5.35 1.17 0.07 0.36 0.48 0.45 0.96 0.11 0.9529999999999997
"Diboson Cross Section " 0.03 3.21 1.3 0.57 0.17 0.02 0.31 1.48 0.47 0.09 0.7649999999999999
"$\gamma\gamma$ Cross Section " 0.01 1.33 1.78 0.77 0.24 0.1 0.47 0.87 0.1 16.38 2.2049999999999996
