"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri" Mean Std
"Electron Momentum Scale " 59.74 5.68 3.52 15.17 0.28 44.9 8.47 8.46 6.67 25.28 4.04 3.15 12.28 21.21 13.52 15.491333333333333 16.117471624158537
"LQ LO reweighting " 29.95 79.21 21.5 23.81 28.48 5.57 45.98 20.45 15.56 18.12 60.82 10.92 5.99 23.73 5.99 26.40533333333333 20.2318336182254
"Electron Identification/Isolation " 2.62 5.16 52.82 10.18 10.14 46.95 9.51 30.95 40.82 28.27 8.87 1.5 48.93 27.57 11.35 22.375999999999998 17.515180767931952
"MC and MisID Backgrounds Statistical Uncertainty " 1.82 0.94 4.6 9.59 51.41 0.33 7.46 7.48 10.55 4.17 9.21 34.25 0.67 26.43 4.62 11.568666666666667 14.074631015491034
"$\alpha_s$ + Renormalization/Factorization Scales " 1.24 5.22 2.02 11.8 4.25 0.35 2.97 5.8 5.51 4.87 0.27 0.94 3.54 0.09 1.88 3.3833333333333333 2.9682288022021184
"DY Cross Section " 0.99 0.24 1.38 1.69 0.65 0.88 11.93 2.37 3.32 5.38 0.42 1.68 2.38 0.04 14.64 3.1993333333333336 4.198111427243869
"$e\mu$ Shape Corrections " 0.88 0.73 0.77 1.07 0.4 0.05 0.31 5.17 0.32 0.68 2.37 0.83 0.72 0.01 6.42 1.3820000000000001 1.8255453979564575
"$\ttbar$ Cross Section " 0.7 0.83 1.59 6.28 0.99 0.35 4.25 1.63 1.43 2.33 5.54 0.39 3.15 0.33 4.34 2.275333333333333 1.906039057545487
"PDFs " 0.46 0.56 2.19 1.04 0.36 0.05 4.74 0.06 4.16 1.02 1.68 44.0 3.5 0.14 1.51 4.3646666666666665 10.692581769099963
"Luminosity " 0.43 0.28 3.64 8.79 0.79 0.14 2.05 2.73 4.52 3.96 0.42 0.61 11.52 0.11 20.51 4.033333333333333 5.471761040916251
"Electron Trigger Prefire Correction " 0.42 0.05 0.78 0.64 0.62 0.01 0.05 1.63 0.25 2.07 0.68 0.01 0.41 0.08 0.14 0.5226666666666666 0.5857811498807003
"Electron MisID Shape " 0.27 0.41 2.11 3.37 0.1 0.04 0.31 3.34 3.17 0.7 0.96 0.96 2.72 0.06 7.11 1.7086666666666663 1.8948416527216434
"Electron Reconstruction " 0.17 0.1 0.81 1.25 0.17 0.07 0.86 0.71 0.39 0.71 1.05 0.21 0.22 0.0 3.35 0.6713333333333332 0.8102828038544457
"Electron MisID Normalization " 0.12 0.23 0.57 3.5 0.17 0.07 0.38 7.23 0.18 1.29 2.16 0.09 1.58 0.05 1.2 1.2546666666666666 1.85812761193149
"$\gamma\gamma$ Cross Section " 0.08 0.09 0.3 0.07 0.1 0.04 0.13 0.42 0.03 0.12 0.51 0.08 0.09 0.05 0.41 0.168 0.15306643437845324
"Electron Trigger " 0.04 0.11 0.56 0.78 0.19 0.07 0.47 0.58 2.65 0.41 0.12 0.37 0.55 0.03 1.21 0.5426666666666667 0.6442615066018526
"Diboson Cross Section " 0.04 0.15 0.17 0.37 0.17 0.04 0.01 0.76 0.26 0.11 0.22 0.01 0.43 0.05 1.54 0.2886666666666667 0.38603741902682037
"Pileup " 0.02 0.01 0.66 0.62 0.74 0.09 0.13 0.22 0.21 0.52 0.67 0.03 1.33 0.01 0.25 0.36733333333333335 0.3663598716502062
