"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri" Mean Std
"LQ LO reweighting " 39.09 66.98 23.92 4.39 65.33 79.34 9.27 23.29 18.26 13.03 27.64 22.07 23.99 29.75 8.59 30.329333333333327 22.041771394836267
"Electron Momentum Scale " 25.04 4.12 15.68 4.7 1.68 2.63 18.85 19.17 16.88 14.9 7.19 10.77 13.42 13.17 21.58 12.652000000000003 7.0107424238331095
"$\alpha_s$ + Renormalization/Factorization Scales " 8.72 8.63 5.64 9.25 8.24 0.73 4.95 4.23 7.44 4.36 5.28 14.72 9.7 3.87 5.07 6.722 3.2106680509410084
"MC and MisID Backgrounds Statistical Uncertainty " 6.09 2.07 11.15 4.44 1.1 1.0 5.57 8.69 8.03 4.16 5.76 9.56 11.43 14.68 4.07 6.5200000000000005 3.8779204048905727
"$e\mu$ Shape Corrections " 4.03 1.48 0.09 0.2 0.2 0.63 4.1 1.28 1.66 3.32 1.52 3.15 0.8 0.47 1.71 1.6426666666666665 1.333798918711346
"Electron Identification/Isolation " 3.74 10.54 24.63 59.59 15.54 8.18 22.7 16.48 37.33 12.03 25.32 4.46 16.2 20.49 43.88 21.40733333333333 14.856733811829422
"DY Cross Section " 3.3 0.28 4.46 0.35 0.16 0.97 3.86 1.45 1.46 7.02 1.26 1.63 3.56 1.22 1.78 2.1839999999999997 1.8328513305775787
"Electron Trigger Prefire Correction " 3.22 0.08 1.34 1.86 1.0 0.21 1.94 0.32 0.05 4.57 1.35 1.4 0.5 1.82 0.71 1.358 1.2003899366455886
"PDFs " 2.04 0.27 1.59 1.9 0.21 1.07 5.15 2.43 2.95 5.64 10.22 7.39 5.79 5.05 0.71 3.4939999999999998 2.8280942935717923
"$\ttbar$ Cross Section " 1.39 3.15 3.81 6.46 1.14 3.4 8.79 5.01 3.3 3.14 6.18 1.12 6.62 5.16 4.09 4.183999999999999 2.13092718474064
"Electron MisID Normalization " 0.92 0.4 0.35 1.66 0.35 0.05 5.08 4.63 0.29 4.05 2.07 1.31 0.04 1.7 0.5 1.5599999999999998 1.6406909113744328
"Luminosity " 0.81 0.7 0.56 0.35 1.86 0.05 1.83 7.83 1.42 4.15 1.25 10.16 3.72 1.55 1.31 2.5033333333333334 2.8010228290552877
"Electron Trigger " 0.78 0.09 1.9 1.2 1.39 0.9 1.32 1.05 0.04 3.75 1.7 3.84 0.99 0.13 0.58 1.3106666666666664 1.1111223554986593
"Electron Reconstruction " 0.41 0.05 1.34 2.17 0.31 0.28 1.68 1.34 0.03 2.9 0.21 1.58 1.43 0.39 0.38 0.9666666666666668 0.8463148875500708
"Pileup " 0.16 0.36 0.37 0.14 0.83 0.09 0.97 0.95 0.5 3.35 1.61 0.44 0.43 0.03 1.49 0.7813333333333332 0.8310223957404652
"Electron MisID Shape " 0.16 0.58 1.63 1.01 0.13 0.13 3.76 1.1 0.15 3.98 1.01 5.84 0.96 0.32 2.86 1.5746666666666667 1.681645490451408
"Diboson Cross Section " 0.07 0.14 0.93 0.19 0.14 0.29 0.07 0.1 0.1 3.1 0.25 0.49 0.12 0.03 0.47 0.43266666666666675 0.7481039737600355
"$\gamma\gamma$ Cross Section " 0.02 0.09 0.63 0.15 0.39 0.05 0.13 0.67 0.11 2.56 0.17 0.06 0.29 0.17 0.19 0.37866666666666665 0.6134478154025998
