"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri" Mean Std
"LQ LO reweighting " 43.44 77.48 19.29 5.14 55.2 18.09 41.17 16.89 45.14 63.73 34.42 16.44 39.96 24.49 9.73 34.04066666666667 20.177725496750675
"Electron Momentum Scale " 19.8 5.56 15.2 6.72 2.27 10.2 6.26 14.62 10.21 7.13 5.72 10.57 7.3 8.07 10.88 9.367333333333333 4.331177617641137
"Electron Identification/Isolation " 12.79 7.62 20.69 52.07 17.88 38.06 16.89 17.11 9.74 4.65 25.32 5.98 10.15 16.85 0.21 17.067333333333334 12.956917568962494
"$\alpha_s$ + Renormalization/Factorization Scales " 5.62 0.08 6.0 8.76 12.48 3.72 4.3 2.91 6.39 4.98 14.62 21.32 7.18 13.53 14.63 8.434666666666667 5.515377130250378
"MC and MisID Backgrounds Statistical Uncertainty " 4.69 0.5 4.9 2.84 4.82 2.52 10.42 11.88 10.79 1.96 4.38 9.74 7.16 6.92 0.04 5.570666666666667 3.66607595241682
"DY Cross Section " 2.45 0.54 4.99 0.29 0.18 3.2 0.16 14.23 2.37 2.1 3.23 2.19 9.43 4.7 0.0 3.3373333333333335 3.770703677328971
"$e\mu$ Shape Corrections " 2.29 1.1 1.44 1.06 0.24 1.74 0.9 0.66 2.93 1.33 0.4 2.81 0.7 0.64 0.02 1.2173333333333334 0.8588167570688303
"PDFs " 2.24 1.43 4.82 2.68 1.05 3.3 3.01 1.64 3.73 1.44 2.39 1.56 2.9 0.68 14.98 3.1900000000000004 3.3264896412484637
"$\ttbar$ Cross Section " 2.21 2.33 0.74 7.2 1.04 6.34 3.2 1.22 0.71 0.44 0.3 8.44 3.69 3.65 0.01 2.768 2.578615132197901
"Electron Trigger Prefire Correction " 1.7 0.41 0.87 2.66 0.32 2.18 4.37 1.45 0.97 3.25 1.98 5.67 2.59 1.67 11.79 2.792 2.7819614183761305
"Electron MisID Shape " 1.21 0.4 2.98 0.57 0.71 2.48 2.34 2.04 0.4 1.3 1.67 0.59 0.75 4.13 0.05 1.4413333333333334 1.1126057502797455
"Electron Trigger " 0.5 0.28 3.36 0.27 0.46 0.86 0.55 2.08 0.98 0.56 1.69 5.49 0.99 3.39 0.02 1.4319999999999997 1.4889468313766838
"$\gamma\gamma$ Cross Section " 0.33 0.26 1.0 0.77 0.07 0.21 0.07 0.19 0.35 0.36 0.17 0.27 0.84 0.45 0.0 0.356 0.28523206925823286
"Pileup " 0.28 0.16 0.5 0.61 0.56 0.73 0.9 0.25 0.58 0.63 0.06 0.11 0.83 2.33 11.4 1.3286666666666667 2.7421594086088836
"Luminosity " 0.19 0.33 5.12 2.35 0.75 1.24 2.34 11.3 0.18 3.2 1.34 6.51 1.32 0.36 12.04 3.238 3.7519740581903465
"Electron MisID Normalization " 0.11 0.91 3.76 3.87 1.54 2.23 1.6 0.68 3.85 1.74 0.28 2.03 3.08 6.27 14.14 3.072666666666667 3.3614549759822094
"Diboson Cross Section " 0.09 0.19 1.63 0.16 0.29 0.42 0.31 0.1 0.4 0.35 0.35 0.14 0.34 0.83 0.0 0.3733333333333333 0.38572298638041036
"Electron Reconstruction " 0.06 0.42 2.71 1.98 0.15 2.5 1.21 0.75 0.28 0.88 1.67 0.15 0.79 1.04 0.05 0.9760000000000001 0.8496022598840001
