"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri" Mean Std
"LQ LO reweighting " 26.48 1.4 3.21 36.02 77.72 6.7 50.4 1.55 54.26 7.39 17.81 0.4 5.82 55.11 2.59 23.124 24.510900377859098
"Pileup " 14.92 0.51 0.31 1.33 0.92 0.41 0.9 0.85 1.18 0.03 0.43 16.14 0.68 1.63 0.04 2.685333333333334 5.061699143787807
"Luminosity " 14.65 4.2 0.78 5.12 3.1 0.32 5.61 2.72 2.15 0.21 0.21 0.03 9.75 7.46 22.05 5.224000000000001 5.999687547420004
"$e\mu$ Shape Corrections " 14.35 1.37 8.9 1.32 0.91 0.25 1.18 2.26 0.92 0.05 0.45 0.26 1.99 4.21 0.06 2.5653333333333337 3.831754805423866
"$\ttbar$ Cross Section " 13.05 7.0 9.89 3.88 3.69 38.07 2.96 8.76 8.62 18.5 78.41 1.37 5.82 6.59 0.09 13.78 19.452765356113254
"$\alpha_s$ + Renormalization/Factorization Scales " 12.3 21.78 25.21 18.91 6.9 44.0 15.08 15.55 10.82 19.94 0.83 0.63 5.76 4.09 0.58 13.492000000000003 11.27564466745324
"DY Cross Section " 3.17 11.86 9.17 7.12 0.68 0.91 6.86 19.2 0.61 23.09 0.18 14.61 23.23 7.32 28.48 10.432666666666668 9.02294960395743
"Muon Momentum Scale " 0.31 12.39 3.35 5.05 0.18 1.21 4.43 0.96 0.68 0.51 0.43 0.68 6.51 5.47 0.05 2.814 3.3393668062473565
"Muon Identification/Isolation " 0.22 5.59 1.11 3.74 0.36 0.05 0.18 23.4 1.52 0.01 0.09 16.37 12.42 0.99 0.06 4.407333333333333 6.968536399815641
"PDFs " 0.19 4.14 20.15 2.16 1.08 4.14 4.1 2.16 8.13 0.16 0.09 16.25 3.25 2.91 0.15 4.604 5.767375833080414
"Muon MisID Shape " 0.17 0.26 1.26 1.47 0.22 0.09 0.28 0.4 0.42 0.01 0.14 0.02 0.84 0.32 22.94 1.9226666666666667 5.632869566708922
"Muon Trigger " 0.1 0.32 2.32 0.9 0.23 0.19 0.78 0.95 0.48 0.02 0.02 15.96 0.46 0.49 0.03 1.55 3.89249363090894
"Diboson Cross Section " 0.04 3.18 2.24 0.32 0.16 0.42 1.12 0.63 0.14 0.02 0.05 0.05 0.3 0.31 22.52 2.1 5.5274997361676395
"$\gamma\gamma$ Cross Section " 0.03 1.57 2.81 1.13 0.16 0.29 0.63 0.1 0.03 0.02 0.03 0.01 1.49 0.24 0.02 0.5706666666666665 0.7979512655684069
"MC and MisID Backgrounds Statistical Uncertainty " 0.01 23.74 2.21 9.62 3.59 2.81 5.03 19.1 9.2 30.01 0.58 1.36 17.5 2.23 0.3 8.486 9.275298234198905
"Muon MisID Normalization " 0.01 0.44 6.64 1.5 0.03 0.13 0.37 0.9 0.85 0.02 0.17 15.86 3.84 0.44 0.01 2.0806666666666667 4.0807768323636076
"Muon Trigger Prefire Correction " 0.01 0.24 0.44 0.4 0.07 0.02 0.1 0.52 0.0 0.01 0.07 0.01 0.36 0.21 0.01 0.16466666666666666 0.17685650178102647
